role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack_Percentage,Productivity_Risk
Senior,Database Administrator,41,15,4,4,17,6,30,96.0,Low
Senior,Solution Architect,53,24,5,5,15,13,34,96.0,Low
Junior,Data Analyst,25,4,4,5,7,27,11,96.0,Low
Junior,Data Engineer,29,4,3,4,5,16,11,87.5,Low
Senior,Database Administrator,39,8,5,4,9,7,29,96.0,Low
Junior,Cloud Engineer,27,5,4,5,8,18,11,96.0,Low
Senior,DevOps Engineer,38,12,4,4,16,13,36,96.0,Low
Junior,Support Analyst,31,5,3,2,6,12,18,73.45,Medium
Trainee,Data Engineer,25,2,2,2,1,27,8,38.1,High
Junior,Business Analyst,30,4,4,3,8,15,21,96.0,Low
Junior,System Administrator,24,4,3,3,10,30,12,72.6,Medium
Trainee,System Analyst,24,2,1,2,3,26,9,28.0,High
Junior,UX Researcher,33,3,2,3,7,14,19,73.45,Medium
Trainee,System Analyst,23,0,2,3,2,34,14,40.6,High
Junior,DevOps Engineer,30,4,2,4,4,33,14,65.9,Medium
Junior,Database Administrator,32,2,3,4,10,16,19,92.3,Low
Junior,Data Scientist,32,2,4,2,8,20,10,81.1,Medium
Trainee,Cloud Engineer,24,0,1,3,4,40,15,31.6,High
Junior,Data Scientist,27,3,4,3,5,16,17,92.45,Low
Junior,Data Engineer,31,3,4,3,5,28,18,83.45,Low
Junior,System Administrator,27,3,3,4,8,31,10,76.85,Medium
Junior,DevOps Engineer,27,2,2,3,6,17,17,71.2,Medium
Junior,Support Analyst,25,5,3,4,7,26,16,79.75,Low
Junior,Support Analyst,24,4,2,4,5,22,19,71.5,Low
Trainee,Cloud Engineer,26,1,2,3,3,36,12,42.75,High
Senior,Database Administrator,36,9,5,4,15,21,21,96.0,Low
Trainee,Database Administrator,22,0,3,3,1,31,8,50.4,High
Junior,Support Analyst,28,5,4,3,8,23,14,83.95,Low
Trainee,UX Researcher,26,0,2,3,3,42,15,37.3,High
Senior,System Analyst,48,16,5,5,16,19,33,96.0,Low
Trainee,QA Tester,22,2,2,3,4,25,16,49.4,Medium
Junior,System Analyst,28,5,3,4,6,25,11,79.55,Medium
Junior,Data Scientist,25,5,4,3,7,20,11,89.95,Low
Junior,Solution Architect,26,5,3,4,4,18,14,88.85,Low
Senior,System Administrator,44,12,4,4,16,8,36,96.0,Low
Senior,System Analyst,47,21,4,3,12,10,36,96.0,Low
Senior,System Administrator,34,9,5,4,14,23,33,96.0,Low
Trainee,Data Engineer,21,1,2,4,4,28,9,56.05,Medium
Senior,IT Manager,43,11,4,5,18,13,29,96.0,Low
Senior,IT Manager,40,17,5,3,9,14,35,96.0,Low
Senior,Support Analyst,51,24,5,3,9,15,18,96.0,Low
Senior,Database Administrator,39,15,3,3,13,12,32,96.0,Low
Senior,QA Engineer,31,8,4,3,16,16,36,96.0,Low
Junior,Support Analyst,24,4,4,3,7,32,22,82.5,Low
Senior,Database Administrator,44,18,5,5,17,15,25,96.0,Low
Senior,UX Researcher,46,19,4,5,9,17,33,96.0,Low
Senior,System Administrator,39,12,4,5,15,9,35,96.0,Low
Junior,Data Engineer,25,4,4,4,9,31,10,90.2,Low
Junior,UX Designer,32,3,4,4,6,22,12,93.15,Low
Senior,UX Designer,45,19,5,5,17,16,31,96.0,Low
Senior,Data Scientist,48,16,4,5,14,10,24,96.0,Low
Trainee,Database Administrator,26,0,1,2,3,37,16,18.2,High
Trainee,QA Engineer,24,2,2,2,2,36,11,24.9,High
Senior,Data Engineer,49,20,4,4,9,13,21,96.0,Low
Junior,Data Analyst,33,4,3,5,10,14,22,96.0,Low
Junior,Solution Architect,28,6,2,4,5,19,16,80.3,Low
Junior,Data Scientist,26,6,4,3,7,30,13,84.2,Low
Senior,QA Tester,48,17,5,5,11,7,27,96.0,Low
Senior,QA Engineer,42,12,4,4,17,24,36,96.0,Low
Senior,Business Analyst,48,15,4,5,9,23,26,96.0,Low
Junior,Data Engineer,31,3,3,3,4,32,17,69.35,Medium
Junior,Cloud Engineer,24,2,3,3,5,24,13,73.8,Low
Senior,System Analyst,43,20,4,3,9,21,25,96.0,Low
Trainee,System Analyst,26,2,2,2,1,40,6,20.2,High
Senior,UX Researcher,40,9,5,5,9,11,31,96.0,Low
Senior,System Analyst,40,14,4,4,10,23,22,96.0,Low
Senior,Solution Architect,45,17,4,4,9,16,25,96.0,Low
Junior,Support Analyst,24,4,4,4,7,12,10,96.0,Low
Senior,Data Scientist,55,24,4,5,17,12,29,96.0,Low
Senior,Data Scientist,51,19,5,5,13,14,36,96.0,Low
Junior,IT Manager,29,4,3,3,5,14,16,84.9,Low
Junior,Database Administrator,27,7,4,5,9,13,16,96.0,Low
Senior,Data Scientist,37,13,5,4,10,19,21,96.0,Low
Junior,QA Tester,25,5,3,5,9,20,15,94.35,Low
Senior,Data Scientist,39,8,4,4,13,6,24,96.0,Low
Trainee,DevOps Engineer,23,0,3,3,3,35,9,51.8,High
Senior,Data Scientist,44,12,5,4,13,8,28,96.0,Low
Junior,Solution Architect,27,3,3,2,5,28,18,67.45,Medium
Junior,Solution Architect,31,2,3,4,4,19,11,85.6,Low
Trainee,System Administrator,25,1,2,2,4,32,6,34.05,High
Senior,Data Analyst,55,24,3,4,17,23,26,96.0,Low
Junior,Solution Architect,33,6,4,2,4,33,15,73.2,Medium
Senior,QA Tester,41,14,4,4,15,12,18,96.0,Low
Junior,Data Scientist,25,3,3,3,5,28,22,76.05,Medium
Junior,System Administrator,25,5,4,4,7,13,21,96.0,Low
Trainee,QA Engineer,23,1,1,1,2,22,6,19.25,High
Trainee,Data Engineer,22,1,2,2,4,40,16,29.45,High
Senior,QA Tester,56,23,4,3,11,9,30,96.0,Low
Trainee,UX Researcher,26,2,1,2,2,41,17,18.0,High
Junior,Data Analyst,31,3,3,2,9,33,10,59.35,High
Senior,Database Administrator,41,18,5,4,16,8,36,96.0,Low
Senior,Data Scientist,41,12,3,4,8,7,28,96.0,Low
Trainee,System Analyst,24,1,2,2,2,28,12,36.45,High
Trainee,UX Designer,26,0,2,2,3,22,6,40.7,High
Junior,UX Researcher,32,7,3,3,7,28,16,74.25,Medium
Senior,UX Designer,50,17,5,3,10,19,36,96.0,Low
Trainee,Database Administrator,24,1,2,3,2,33,8,40.35,High
Senior,DevOps Engineer,34,11,4,5,17,21,22,96.0,Low
Junior,Solution Architect,25,5,4,3,9,21,21,96.0,Low
Junior,Data Analyst,28,7,3,4,6,16,17,89.15,Low
Junior,Data Engineer,25,5,4,2,4,23,18,78.95,Low
Junior,QA Tester,26,2,2,4,8,20,16,74.5,Low
Trainee,System Administrator,24,0,3,4,1,41,10,52.2,High
Trainee,System Analyst,24,1,1,2,2,38,17,18.0,High
Trainee,System Administrator,24,0,3,2,3,29,11,46.8,High
Junior,UX Designer,26,2,2,4,4,28,22,70.7,Medium
Senior,DevOps Engineer,39,12,3,4,13,14,26,96.0,Low
Senior,UX Researcher,39,8,4,4,8,22,18,96.0,Low
Junior,UX Designer,34,2,2,3,7,27,10,61.3,Medium
Junior,QA Engineer,26,5,2,3,7,15,11,68.45,Medium
Senior,UX Researcher,52,20,4,4,9,20,24,96.0,Low
Senior,Solution Architect,35,11,3,3,8,23,18,95.25,Low
Senior,Data Scientist,37,11,4,3,16,8,35,96.0,Low
Trainee,Data Engineer,22,2,3,2,4,38,13,40.1,High
Senior,Support Analyst,46,17,4,3,17,14,37,96.0,Low
Trainee,QA Tester,22,1,1,3,1,45,12,20.65,High
Senior,System Analyst,51,25,4,4,14,7,34,96.0,Low
Trainee,QA Engineer,21,1,2,3,4,43,17,36.75,High
Senior,Solution Architect,42,19,5,5,8,15,32,96.0,Low
Senior,Data Engineer,40,17,5,5,11,7,29,96.0,Low
Senior,IT Manager,53,22,4,5,17,22,22,96.0,Low
Senior,Database Administrator,48,20,4,4,13,14,37,96.0,Low
Senior,Cloud Engineer,40,11,3,4,16,12,35,96.0,Low
Junior,Database Administrator,34,3,3,2,5,20,18,69.05,Medium
Junior,Business Analyst,27,2,4,4,9,20,17,96.0,Low
Junior,UX Designer,30,4,4,3,7,16,10,89.9,Low
Junior,UX Designer,29,6,4,2,6,25,21,83.0,Medium
Senior,System Administrator,37,12,5,4,9,17,27,96.0,Low
Junior,Database Administrator,32,7,3,3,7,33,10,68.35,Medium
Trainee,QA Engineer,24,1,2,3,4,39,7,35.55,High
Senior,QA Tester,56,24,5,5,11,6,21,96.0,Low
Senior,Data Engineer,45,22,5,4,14,8,36,96.0,Low
Senior,QA Tester,31,8,5,4,16,8,37,96.0,Low
Senior,Data Analyst,50,19,5,4,15,17,26,96.0,Low
Senior,IT Manager,34,8,5,5,12,16,18,96.0,Low
Junior,Data Engineer,32,5,3,5,7,22,21,96.0,Low
Junior,Database Administrator,34,4,2,4,4,19,10,72.1,Medium
Junior,UX Designer,31,6,3,3,4,19,19,79.6,Low
Senior,Support Analyst,55,22,4,5,10,7,36,96.0,Low
Trainee,Database Administrator,26,2,2,3,3,35,8,40.3,High
Senior,UX Researcher,36,12,3,5,8,6,18,96.0,Low
Junior,Cloud Engineer,29,5,4,4,5,31,17,89.85,Low
Junior,Support Analyst,28,7,3,5,6,21,11,89.25,Low
Senior,Support Analyst,47,17,4,5,10,16,31,96.0,Low
Trainee,DevOps Engineer,23,1,2,3,4,25,17,53.35,Medium
Junior,Business Analyst,26,3,3,4,10,19,11,87.45,Low
Junior,QA Tester,31,7,4,2,10,27,13,76.45,Medium
Junior,UX Researcher,33,7,4,3,9,13,19,96.0,Low
Trainee,UX Researcher,24,0,2,1,3,38,7,18.0,High
Trainee,Support Analyst,26,0,2,3,4,39,8,34.5,High
Senior,DevOps Engineer,35,10,4,4,11,21,27,96.0,Low
Junior,QA Tester,33,2,4,5,6,26,16,96.0,Low
Junior,QA Tester,26,5,2,3,7,19,21,69.65,Medium
Senior,IT Manager,49,20,3,4,12,18,28,96.0,Low
Senior,Cloud Engineer,48,23,3,5,15,20,30,96.0,Low
Senior,QA Engineer,54,25,4,4,9,6,30,96.0,Low
Senior,Cloud Engineer,48,23,5,5,12,15,28,96.0,Low
Junior,QA Tester,27,7,3,5,9,17,19,96.0,Low
Senior,QA Engineer,48,17,5,4,13,21,27,96.0,Low
Trainee,DevOps Engineer,24,1,3,2,4,24,8,52.45,Medium
Junior,QA Tester,30,5,2,3,4,15,18,68.55,Medium
Senior,IT Manager,46,22,4,4,12,13,24,96.0,Low
Senior,QA Engineer,53,24,5,5,17,23,30,96.0,Low
Senior,UX Researcher,33,8,5,4,11,18,26,96.0,Low
Junior,UX Designer,33,5,2,4,10,31,16,72.95,Medium
Junior,Database Administrator,24,4,4,3,4,22,22,89.8,Low
Trainee,QA Engineer,25,1,1,2,3,35,8,18.0,High
Junior,UX Designer,24,4,4,4,7,25,21,96.0,Low
Senior,QA Tester,49,21,5,3,18,7,35,96.0,Low
Junior,Business Analyst,32,7,2,3,8,27,18,66.65,Medium
Trainee,Data Engineer,21,1,3,3,2,41,6,45.95,High
Trainee,Data Scientist,23,2,3,2,3,38,14,40.6,High
Senior,Cloud Engineer,35,8,4,5,10,12,22,96.0,Low
Senior,IT Manager,44,15,4,5,14,24,36,96.0,Low
Junior,Business Analyst,24,4,3,3,9,25,19,78.0,Medium
Trainee,UX Researcher,22,2,1,1,2,40,6,18.0,High
Junior,Data Engineer,25,5,3,3,7,28,11,73.35,Medium
Junior,UX Researcher,33,6,3,3,8,16,22,85.5,Low
Junior,Business Analyst,24,2,3,2,10,25,17,69.2,Medium
Junior,QA Tester,24,4,2,4,7,23,22,74.8,Low
Trainee,Support Analyst,21,1,1,1,3,42,12,18.0,High
Junior,QA Engineer,33,6,2,3,7,15,17,71.3,Medium
Senior,QA Tester,45,18,4,5,14,14,19,96.0,Low
Trainee,IT Manager,26,1,2,4,4,40,12,50.85,Medium
Senior,Data Engineer,52,21,5,5,8,24,22,96.0,Low
Senior,UX Designer,52,22,5,5,18,23,36,96.0,Low
Senior,Data Scientist,57,24,4,5,10,13,19,96.0,Low
Trainee,Cloud Engineer,21,1,2,2,4,23,10,43.95,High
Trainee,Data Analyst,26,0,2,1,1,45,11,18.0,High
Trainee,Data Engineer,26,1,1,2,4,36,14,21.45,High
Senior,UX Researcher,33,9,4,4,14,21,27,96.0,Low
Trainee,UX Designer,24,1,1,4,4,24,16,50.65,Medium
Senior,Data Engineer,41,17,5,5,14,22,34,96.0,Low
Senior,DevOps Engineer,46,19,4,4,17,24,30,96.0,Low
Junior,Data Engineer,32,4,4,3,5,23,20,91.2,Low
Junior,Data Scientist,33,3,3,3,7,16,12,82.25,Low
Junior,Business Analyst,25,5,3,4,8,23,22,88.15,Low
Senior,Data Engineer,49,24,4,5,14,10,19,96.0,Low
Trainee,Data Engineer,22,1,2,1,1,27,13,31.65,High
Junior,System Administrator,24,2,2,4,9,15,10,78.5,Medium
Junior,Business Analyst,31,4,3,4,8,21,13,85.5,Low
Junior,Support Analyst,26,6,3,4,8,24,17,82.9,Low
Senior,Solution Architect,42,19,4,3,11,24,21,96.0,Low
Senior,QA Engineer,43,20,4,3,8,20,23,96.0,Low
Senior,UX Designer,54,23,4,4,16,11,35,96.0,Low
Senior,UX Researcher,50,22,4,3,13,16,37,96.0,Low
Senior,IT Manager,45,18,3,5,13,8,27,96.0,Low
Trainee,Data Engineer,25,1,1,4,3,24,17,51.15,Medium
Junior,Solution Architect,24,2,3,4,7,15,19,94.3,Low
Senior,Database Administrator,49,22,4,3,11,21,37,96.0,Low
Junior,Database Administrator,34,5,3,3,5,14,19,82.55,Low
Junior,System Administrator,25,5,4,5,8,27,16,96.0,Low
Senior,QA Engineer,42,14,4,5,13,21,28,96.0,Low
Senior,Data Engineer,36,11,4,4,8,12,34,96.0,Low
Senior,QA Tester,52,25,4,5,16,18,24,96.0,Low
Junior,Data Scientist,25,5,3,4,9,32,20,84.95,Low
Junior,QA Engineer,31,7,2,4,9,26,14,72.65,Medium
Trainee,Database Administrator,23,2,2,2,1,23,16,42.1,High
Senior,Support Analyst,43,19,4,5,8,12,23,96.0,Low
Senior,UX Designer,49,24,4,4,14,6,21,96.0,Low
Junior,System Analyst,30,3,3,3,7,28,11,69.45,Medium
Junior,UX Designer,25,4,3,4,10,33,13,79.9,Low
Trainee,Solution Architect,24,1,1,2,1,45,8,18.0,High
Junior,UX Researcher,25,4,4,3,4,28,22,85.6,Low
Junior,Support Analyst,25,2,2,3,10,26,17,63.5,Medium
Trainee,Database Administrator,22,0,2,3,1,39,9,35.2,High
Senior,Data Analyst,45,22,4,3,10,12,21,96.0,Low
Trainee,Data Scientist,22,1,3,2,4,42,13,37.85,High
Senior,IT Manager,31,8,3,5,16,9,36,96.0,Low
Senior,Data Analyst,41,14,4,5,10,10,30,96.0,Low
Senior,UX Designer,48,25,5,3,12,24,23,96.0,Low
Senior,Data Analyst,39,8,4,3,15,22,32,96.0,Low
Trainee,Database Administrator,26,1,3,3,2,27,16,57.75,Medium
Trainee,Cloud Engineer,26,1,1,3,4,24,8,40.45,Medium
Senior,Business Analyst,39,8,5,4,13,15,33,96.0,Low
Senior,Data Scientist,35,8,5,4,17,18,20,96.0,Low
Junior,Cloud Engineer,28,7,2,4,8,16,15,83.15,Low
Senior,Data Scientist,49,16,4,4,11,17,24,96.0,Low
Senior,UX Researcher,35,11,4,3,14,16,32,96.0,Low
Junior,Data Analyst,29,2,2,3,10,16,11,70.1,Medium
Senior,QA Tester,36,13,5,3,14,23,35,96.0,Low
Senior,DevOps Engineer,37,8,5,4,16,23,37,96.0,Low
Junior,System Analyst,24,3,2,4,5,17,21,77.35,Low
Trainee,Solution Architect,24,0,2,3,3,30,13,48.9,Medium
Senior,Solution Architect,38,9,5,4,13,11,37,96.0,Low
Senior,Support Analyst,50,17,5,5,18,10,21,96.0,Low
Junior,System Analyst,27,3,4,3,5,31,10,75.15,Medium
Junior,Database Administrator,26,4,4,4,7,22,10,92.7,Low
Trainee,Cloud Engineer,26,1,1,3,4,40,16,32.45,High
Junior,Cloud Engineer,33,6,3,4,8,12,12,94.3,Low
Junior,UX Researcher,30,2,4,5,5,31,18,94.9,Low
Senior,Database Administrator,43,19,4,3,11,8,37,96.0,Low
Junior,Database Administrator,31,5,4,5,10,29,10,96.0,Low
Junior,System Administrator,25,3,3,3,5,17,14,77.55,Low
Senior,QA Tester,53,21,4,4,10,7,18,96.0,Low
Trainee,DevOps Engineer,23,2,1,2,4,24,11,34.1,High
Junior,IT Manager,32,4,3,3,9,14,16,88.5,Low
Trainee,UX Researcher,22,1,2,3,3,43,15,37.05,High
Trainee,Data Engineer,24,1,3,3,3,34,9,52.95,Medium
Senior,Cloud Engineer,48,23,3,3,9,23,31,96.0,Low
Trainee,QA Tester,21,1,1,2,1,23,12,28.05,High
Senior,Data Analyst,55,25,5,3,9,11,26,96.0,Low
Senior,Business Analyst,43,17,5,4,16,17,31,96.0,Low
Senior,Solution Architect,45,19,5,4,10,18,22,96.0,Low
Senior,Database Administrator,41,8,4,3,12,8,27,96.0,Low
Trainee,UX Designer,23,2,2,2,2,29,13,38.6,High
Trainee,QA Tester,24,0,3,1,3,26,7,37.3,High
Senior,QA Engineer,50,23,4,4,14,22,22,96.0,Low
Trainee,Database Administrator,21,0,2,1,1,24,11,30.5,High
Senior,Data Analyst,33,8,5,5,15,15,34,96.0,Low
Senior,Cloud Engineer,48,18,4,3,13,6,28,96.0,Low
Junior,Solution Architect,28,7,3,4,8,24,19,91.15,Low
Senior,Support Analyst,34,9,4,4,14,8,26,96.0,Low
Senior,Support Analyst,41,8,5,4,9,24,26,96.0,Low
Senior,Support Analyst,38,13,4,3,11,8,24,96.0,Low
Senior,Data Analyst,35,11,4,4,8,15,32,96.0,Low
Senior,Database Administrator,49,16,4,5,15,24,22,96.0,Low
Senior,QA Tester,55,22,4,4,13,8,25,96.0,Low
Junior,System Analyst,32,4,3,3,8,16,12,79.6,Low
Senior,DevOps Engineer,46,13,4,4,14,19,24,96.0,Low
Junior,Data Engineer,29,5,4,3,5,33,14,79.25,Low
Trainee,System Administrator,26,0,3,1,2,45,13,22.5,High
Junior,Solution Architect,32,2,3,5,9,28,19,95.0,Low
Senior,Data Engineer,39,10,3,4,12,11,32,96.0,Low
Senior,UX Researcher,35,8,3,5,14,14,24,96.0,Low
Trainee,Data Engineer,25,0,3,1,1,37,16,30.4,High
Junior,QA Tester,24,4,3,3,9,16,13,79.9,Low
Junior,QA Tester,31,3,3,5,8,16,13,94.55,Low
Junior,UX Designer,30,7,2,3,5,17,10,68.75,Medium
Junior,Data Engineer,31,5,3,4,9,30,12,82.15,Low
Trainee,Data Scientist,22,0,2,3,3,30,7,45.5,High
Junior,Support Analyst,28,5,4,3,7,13,13,89.65,Low
Senior,Database Administrator,36,13,4,4,10,10,34,96.0,Low
Trainee,DevOps Engineer,25,0,2,3,3,29,13,47.6,Medium
Junior,Cloud Engineer,29,4,2,3,4,14,11,70.0,Medium
Trainee,DevOps Engineer,21,1,2,3,1,33,8,41.45,High
Junior,Cloud Engineer,31,5,4,4,4,28,19,91.85,Low
Senior,Database Administrator,39,16,4,3,10,11,30,96.0,Low
Junior,DevOps Engineer,27,7,3,4,6,20,22,91.35,Low
Junior,Data Scientist,30,3,2,5,8,22,17,86.95,Low
Senior,QA Tester,54,21,4,3,14,12,35,96.0,Low
Senior,Database Administrator,39,8,5,4,8,21,33,96.0,Low
Trainee,Database Administrator,26,1,1,3,1,34,12,30.35,High
Junior,System Administrator,25,5,3,3,10,13,10,84.15,Medium
Junior,QA Engineer,28,6,2,2,10,30,16,55.1,High
Junior,Solution Architect,31,4,3,3,7,24,17,80.1,Low
Junior,System Administrator,31,6,3,3,9,23,14,78.3,Low
Senior,Data Analyst,43,19,3,5,8,19,27,96.0,Low
Junior,IT Manager,28,2,3,4,6,17,12,89.2,Low
Senior,Cloud Engineer,40,15,5,4,9,7,33,96.0,Low
Junior,System Administrator,34,3,4,4,9,18,12,96.0,Low
Senior,UX Designer,33,10,4,4,12,9,25,96.0,Low
Junior,Database Administrator,27,6,4,2,6,27,22,81.0,Medium
Trainee,QA Tester,25,1,2,2,1,37,17,25.25,High
Senior,System Administrator,42,9,4,4,17,15,35,96.0,Low
Junior,Solution Architect,33,3,3,4,10,28,19,88.35,Low
Junior,Data Engineer,34,4,3,3,6,24,13,75.6,Low
Senior,Support Analyst,49,16,4,4,14,6,26,96.0,Low
Senior,Data Engineer,36,8,4,3,10,16,34,96.0,Low
Trainee,Database Administrator,24,0,3,2,1,32,15,44.5,High
Junior,QA Tester,24,4,4,4,6,30,11,84.6,Low
Junior,Database Administrator,31,3,3,4,4,18,22,87.15,Low
Junior,Business Analyst,29,6,3,2,5,19,21,72.3,Medium
Junior,Data Engineer,34,2,3,3,7,31,20,73.5,Medium
Trainee,UX Researcher,24,2,2,2,3,41,8,23.1,High
Junior,UX Designer,34,3,2,5,8,19,19,87.85,Low
Senior,Database Administrator,45,18,4,4,10,10,30,96.0,Low
Trainee,QA Tester,21,0,1,3,2,44,10,21.0,High
Junior,QA Tester,32,5,3,3,6,24,16,73.25,Low
Trainee,DevOps Engineer,25,1,2,4,4,22,15,62.65,Low
Senior,Data Engineer,45,13,3,3,13,13,25,96.0,Low
Senior,Data Engineer,43,19,4,4,15,13,18,96.0,Low
Trainee,DevOps Engineer,24,0,1,4,2,42,6,32.8,High
Senior,Data Engineer,54,21,5,5,14,22,25,96.0,Low
Junior,QA Tester,27,2,3,2,9,20,12,67.8,Medium
Senior,UX Researcher,40,14,5,4,8,19,29,96.0,Low
Senior,QA Tester,49,25,4,4,14,12,23,96.0,Low
Trainee,UX Designer,26,1,2,3,2,29,14,46.55,High
Junior,QA Tester,27,3,3,4,6,27,21,80.25,Low
Senior,System Analyst,43,16,4,5,9,20,28,96.0,Low
Junior,UX Designer,31,5,3,3,5,16,22,83.35,Low
Junior,Support Analyst,24,4,2,5,8,12,21,90.0,Low
Junior,Data Engineer,29,3,3,4,6,22,12,84.15,Low
Junior,UX Researcher,27,3,4,5,4,18,17,96.0,Low
Junior,QA Engineer,31,6,4,3,8,21,12,86.0,Low
Senior,IT Manager,47,24,4,4,17,8,29,96.0,Low
Junior,Data Analyst,31,3,3,3,9,19,10,77.15,Medium
Trainee,UX Researcher,23,0,2,3,3,27,6,44.2,High
Junior,QA Tester,32,6,3,3,6,13,18,82.2,Low
Trainee,Data Engineer,23,2,2,2,1,40,7,23.6,High
Junior,QA Tester,33,6,4,3,4,13,16,89.6,Low
Trainee,Cloud Engineer,26,1,1,1,4,35,13,18.0,High
Trainee,Business Analyst,24,0,3,2,4,25,10,50.1,High
Senior,Data Scientist,43,19,4,5,11,13,26,96.0,Low
Senior,Cloud Engineer,35,8,4,4,18,21,25,96.0,Low
Senior,QA Engineer,43,10,5,4,15,22,28,96.0,Low
Junior,Business Analyst,25,5,2,4,5,33,22,68.45,Medium
Junior,Data Scientist,25,5,3,3,7,27,12,75.45,Medium
Junior,Data Engineer,31,4,2,3,4,19,18,69.3,Medium
Trainee,Solution Architect,21,1,3,1,1,31,10,39.65,High
Senior,Support Analyst,52,20,3,4,13,22,26,96.0,Low
Senior,QA Tester,38,13,4,4,9,6,23,96.0,Low
Trainee,Database Administrator,24,1,1,3,2,28,7,33.45,High
Junior,UX Researcher,30,4,3,4,5,14,17,89.3,Low
Junior,DevOps Engineer,31,4,4,3,10,13,18,96.0,Low
Trainee,System Analyst,22,0,1,3,4,41,9,25.5,High
Trainee,Solution Architect,24,2,3,2,1,39,16,39.9,High
Trainee,Business Analyst,24,0,2,4,4,23,15,59.5,Medium
Senior,Business Analyst,35,10,4,4,13,12,35,96.0,Low
Junior,Data Analyst,31,5,4,5,9,30,18,96.0,Low
Trainee,Data Engineer,24,0,2,3,1,34,17,43.9,High
Senior,Support Analyst,46,22,4,5,15,15,21,96.0,Low
Senior,Solution Architect,55,24,4,5,13,23,32,96.0,Low
Junior,QA Engineer,33,3,3,4,9,15,11,87.35,Low
Junior,QA Tester,31,7,3,3,4,16,20,79.55,Low
Senior,QA Engineer,44,17,3,5,8,12,36,96.0,Low
Junior,Solution Architect,27,6,2,4,6,18,22,84.3,Low
Trainee,UX Researcher,21,1,1,4,4,37,13,39.35,High
Senior,Data Scientist,48,24,4,4,13,23,18,96.0,Low
Trainee,DevOps Engineer,21,1,1,2,3,24,11,32.75,High
Junior,UX Designer,28,5,4,3,7,20,18,90.75,Low
Trainee,System Analyst,22,0,3,4,3,22,10,66.3,Low
Trainee,QA Engineer,24,0,2,3,3,34,7,37.7,High
Senior,IT Manager,36,10,4,5,16,17,37,96.0,Low
Junior,QA Engineer,28,2,3,4,9,28,13,78.6,Low
Junior,System Administrator,25,5,2,2,8,26,14,56.85,High
Junior,System Administrator,30,6,3,4,10,23,19,89.2,Low
Trainee,UX Researcher,24,2,2,1,2,25,8,30.4,High
Senior,Data Engineer,31,8,4,4,11,10,18,96.0,Low
Trainee,DevOps Engineer,22,1,3,4,2,42,15,56.85,Medium
Junior,Support Analyst,33,3,4,5,4,14,22,96.0,Low
Senior,Data Scientist,41,9,4,5,13,8,23,96.0,Low
Junior,QA Engineer,34,2,3,4,6,27,14,77.0,Low
Junior,DevOps Engineer,24,3,2,5,8,32,14,77.75,Medium
Junior,UX Designer,25,5,2,4,6,20,22,79.45,Low
Trainee,IT Manager,26,2,3,3,4,29,11,60.6,Medium
Junior,DevOps Engineer,24,2,4,3,8,32,22,87.5,Low
Junior,Support Analyst,33,6,3,5,7,23,21,92.3,Low
Junior,IT Manager,34,2,2,2,7,13,17,68.9,Medium
Junior,Cloud Engineer,32,2,3,3,5,12,15,83.0,Low
Junior,QA Engineer,28,7,3,4,10,30,16,81.55,Low
Trainee,Database Administrator,25,2,1,3,4,41,15,29.8,High
Junior,Data Scientist,27,4,3,3,9,26,12,77.5,Medium
Senior,Support Analyst,44,14,5,4,10,14,33,96.0,Low
Junior,QA Tester,26,3,3,4,8,22,17,83.95,Low
Senior,Cloud Engineer,56,24,4,4,9,16,36,96.0,Low
Junior,UX Designer,32,6,2,2,10,14,15,68.9,Medium
Senior,Cloud Engineer,43,12,3,5,11,15,35,96.0,Low
Junior,QA Engineer,26,6,2,3,10,22,13,67.5,Medium
Junior,Cloud Engineer,26,6,4,4,8,19,15,96.0,Low
Trainee,Business Analyst,24,0,3,1,1,36,7,25.5,High
Senior,QA Engineer,48,21,5,4,11,21,37,96.0,Low
Trainee,Support Analyst,26,0,2,3,2,31,16,41.5,High
Senior,Data Analyst,48,15,5,3,15,15,37,96.0,Low
Trainee,System Analyst,26,0,1,1,2,43,17,18.0,High
Trainee,Data Analyst,23,0,3,3,3,43,9,43.2,High
Senior,Solution Architect,48,22,5,5,10,22,27,96.0,Low
Trainee,DevOps Engineer,26,2,1,1,1,34,6,18.0,High
Senior,IT Manager,35,12,4,4,18,7,21,96.0,Low
Junior,IT Manager,26,5,3,3,10,12,14,90.45,Low
Trainee,Solution Architect,25,2,3,1,4,28,11,45.3,High
Junior,IT Manager,25,3,2,3,4,31,15,61.25,Medium
Trainee,System Analyst,24,2,1,4,1,42,14,33.0,High
Senior,Business Analyst,41,18,5,3,10,18,32,96.0,Low
Senior,Solution Architect,54,21,4,4,13,12,32,96.0,Low
Senior,Data Engineer,41,14,4,4,13,22,31,96.0,Low
Senior,Business Analyst,42,16,5,4,9,11,25,96.0,Low
Junior,UX Designer,25,5,3,3,8,27,20,77.55,Medium
Senior,Data Engineer,42,11,4,4,10,10,33,96.0,Low
Junior,QA Tester,24,2,4,3,5,16,19,87.8,Low
Trainee,Support Analyst,21,1,1,3,2,41,14,24.15,High
Junior,Support Analyst,31,2,3,3,7,17,19,77.9,Low
Junior,Database Administrator,30,5,3,4,10,20,16,89.65,Low
